PosX,PosY
-316,-719.2
-317,-718.9
-318,-718.6
-319,-718.3
-320,-718
-321,-717.6
-322,-717.2
-323,-716.8
-324,-716.4
-325,-716
-326,-715.6
-327,-715.2
-328,-714.8
-329,-714.4
-330,-714
-331,-713.6
-332,-713.2
-333,-712.8
-334,-712.4
-335,-712
-336,-711.6
-337,-711.2
-338,-710.8
-339,-710.4
-340,-710
-341,-709.4
-342,-708.8
-343,-708.2
-344,-707.6
-345,-707
-346,-706.4
-347,-705.8
-348,-705.2
-349,-704.6
-350,-704
-351,-703.3
-352,-702.6
-353,-701.9
-354,-701.2
-355,-700.5
-356,-699.8
-357,-699.1
-358,-698.4
-359,-697.7
-360,-697
-361,-696.2
-362,-695.4
-363,-694.6
-364,-693.8
-365,-693.0000001
-366,-692.2000001
-367,-691.4000001
-368,-690.6000001
-369,-689.8000001
-370,-689.0000001
-371,-687.9
-372,-686.7999999
-373,-685.6999997
-374,-684.5999996
-375,-683.4999994
-376,-682.3999993
-377,-681.2999992
-378,-680.199999
-379,-679.0999989
-380,-677.9999987
-381,-676.7
-382,-675.4000013
-383,-674.1000025
-384,-672.8000038
-385,-671.500005
-386,-670.2000063
-387,-668.9000075
-388,-667.6000088
-389,-666.30001
-390,-665.0000113
-391,-663
-392,-660.9999887
-393,-658.9999774
-394,-656.9999662
-395,-654.9999549
-396,-652.9999436
-397,-650.9999323
-398,-648.9999211
-399,-646.9999098
-400,-644.9998985
-401,-639
-402,-633.0001015
-403,-627.000203
-404,-621.0003045
-405,-615.000406
-405,-600
-405,-500
-405,-400
-405,-360
-404.9,-359
-404.8,-358
-404.7,-357
-404.6,-356
-404.5,-355
-404.4,-354
-404.3,-353
-404.2,-352
-404.1,-351
-404,-350
-403.9,-349
-403.8,-348
-403.7,-347
-403.6,-346
-403.5,-345
-403.4,-344
-403.3,-343
-403.2,-342
-403.1,-341
-403,-340
-402.8,-339
-402.6,-338
-402.4,-337
-402.2,-336
-402,-335
-401.8,-334
-401.6,-333
-401.4,-332
-401.2,-331
-401,-330
-400.7,-329
-400.4,-328
-400.1,-327
-399.8,-326
-399.5,-325
-399.2,-324
-398.9,-323
-398.6,-322
-398.3,-321
-398,-320
-397.6,-319
-397.2,-318
-396.8,-317
-396.4,-316
-396,-315
-395.6,-314
-395.2,-313
-394.8,-312
-394.4,-311
-394,-310
-393.5,-309
-393,-308
-392.5,-307
-392,-306
-391.5,-305
-391,-304
-390.5,-303
-390,-302
-389.5,-301
-389,-300
-388.5,-299
-388,-298
-387.5,-297
-387,-296
-386.5,-295
-386,-294
-385.5,-293
-385,-292
-384.5,-291
-384,-290
-383.2,-289
-382.4,-288
-381.6,-287
-380.8,-286
-380,-285
-379.2,-284
-378.4,-283
-377.6,-282
-376.8,-281
-376,-280
-375.2,-279
-374.4,-278
-373.6,-277
-372.8,-276
-372,-275
-371.2,-274
-370.4,-273
-369.6,-272
-368.8,-271
-368,-270
-366.9,-269
-365.8,-268
-364.7,-267
-363.6,-266
-362.5,-265
-361.4,-264
-360.3,-263
-359.2,-262
-358.1,-261
-357,-260
-355.9,-259
-354.8,-258
-353.7,-257
-352.6,-256
-351.5,-255
-350.4,-254
-349.3,-253
-348.2,-252
-347.1,-251
-346,-250
-343.9,-249
-341.8,-248
-339.7,-247
-337.6,-246
-335.5,-245
-333.4,-244
-331.3,-243
-329.2,-242
-327.1,-241
-325,-240
-322.15,-239
-319.3,-238
-316.45,-237
-313.6,-236
-310.75,-235
-307.9,-234
-305,-233
-272,-232
-200,-232
-100,-232
0,-232
100,-232
200,-232
260,-232
261,-231.9
262,-231.8
263,-231.7
264,-231.6
265,-231.5
266,-231.4
267,-231.3
268,-231.2
269,-231.1
270,-231
271,-230.8
272,-230.6
273,-230.4
274,-230.2
275,-230
276,-229.8
277,-229.6
278,-229.4
279,-229.2
280,-229
281,-228.6
282,-228.2
283,-227.8
284,-227.4
285,-227
286,-226.6
287,-226.2
288,-225.8
289,-225.4
290,-225
291,-224.4
292,-223.8
293,-223.2
294,-222.6
295,-222
296,-221.4
297,-220.8
298,-220.2
299,-219.6
300,-219
301,-218.3
302,-217.6
303,-216.9
304,-216.2
305,-215.5
306,-214.8
307,-214.1
308,-213.4
309,-212.7
310,-212
311,-211
312,-210
313,-209
314,-208
315,-207
316,-206
317,-205
318,-204
319,-203
320,-202
321,-201
322,-200
323,-199
324,-198
325,-197
326,-196
327,-195
328,-194
329,-193
330,-192
331,-189.8
332,-187.6
333,-185.4
334,-183.2
335,-181
336,-178.8
337,-176.6
338,-174.4
339,-172.2
340,-170
341,-166
342,-162
343,-158
344,-154
345,-150
346,-146
347,-142
348,-138
349,-134
350,-130
349,-115
348,-100
348,0
348,100
348,200
348,300
348,400
348,410
347.8,411
347.6,412
347.4,413
347.2,414
347,415
346.8,416
346.6,417
346.4,418
346.2,419
346,420
345.8,421
345.6,422
345.4,423
345.2,424
345,425
344.8,426
344.6,427
344.4,428
344.2,429
344,430
343.6,431
343.2,432
342.8,433
342.4,434
342,435
341.6,436
341.2,437
340.8,438
340.4,439
340,440
339.4,441
338.8,442
338.2,443
337.6,444
337,445
336.4,446
335.8,447
335.2,448
334.6,449
334,450
333.4,451
332.8,452
332.2,453
331.6,454
331,455
330.4,456
329.8,457
329.2,458
328.6,459
328,460
327,461
326,462
325,463
324,464
323,465
322,466
321,467
320,468
319,469
318,470
316.7,471
315.4,472
314.1,473
312.8,474
311.5,475
310.2,476
308.9,477
307.6,478
306.3,479
305,480
302.9,481
300.8,482
298.7,483
296.6,484
294.5,485
292.4,486
290.3,487
288.2,488
286.1,489
284,490
279.4,491
274.8,492
270.2,493
265.6,494
261,495
256.4,496
251.8,497
247.2,498
242.6,499
238,500
200,500
100,500
0,500
-100,500
-190,500
-191,499.7
-192,499.4
-193,499.1
-194,498.8
-195,498.5
-196,498.2
-197,497.9
-198,497.6
-199,497.3
-200,497
-201,496.7
-202,496.4
-203,496.1
-204,495.8
-205,495.5
-206,495.2
-207,494.9
-208,494.6
-209,494.3
-210,494
-211,493.6
-212,493.2
-213,492.8
-214,492.4
-215,492
-216,491.6
-217,491.2
-218,490.8
-219,490.4
-220,490
-221,489.4
-222,488.8
-223,488.2
-224,487.6
-225,487
-226,486.4
-227,485.8
-228,485.2
-229,484.6
-230,484
-231,483.2
-232,482.4
-233,481.6
-234,480.8
-235,480
-236,479.2
-237,478.4
-238,477.6
-239,476.8
-240,476
-241,475
-242,474
-243,473
-244,472
-245,471
-246,470
-247,469
-248,468
-249,467
-250,466
-251,464.5
-252,463
-253,461.5
-254,460
-255,458.5
-256,457
-257,455.5
-258,454
-259,452.5
-260,451
-261,448.5
-262,446
-263,443.5
-264,441
-265,438.5
-266,436
-267,433.5
-268,431
-269,428.5
-270,426
-271,418
-272,410
-273,402
-274,394
-275,386
-276,378
-276,341
-275,337.34
-274,333.68
-273,330.02
-272,326.36
-271,322.7
-270,319
-269,317.3
-268,315.6
-267,313.9
-266,312.2
-265,310.5
-264,308.8
-263,307.1
-262,305.4
-261,303.7
-260,302
-259,300.6
-258,299.2
-257,297.8
-256,296.4
-255,295
-254,293.6
-253,292.2
-252,290.8
-251,289.4
-250,288
-249,287.1
-248,286.2
-247,285.3
-246,284.4
-245,283.5
-244,282.6
-243,281.7
-242,280.8
-241,279.9
-240,279
-239,278.2
-238,277.4
-237,276.6
-236,275.8
-235,275
-234,274.2
-233,273.4
-232,272.6
-231,271.8
-230,271
-229,270.4
-228,269.8
-227,269.2
-226,268.6
-225,268
-224,267.4
-223,266.8
-222,266.2
-221,265.6
-220,265
-219,264.6
-218,264.2
-217,263.8
-216,263.4
-215,263
-214,262.6
-213,262.2
-212,261.8
-211,261.4
-210,261
-209,260.7
-208,260.4
-207,260.1
-206,259.8
-205,259.5
-204,259.2
-203,258.9
-202,258.6
-201,258.3
-200,258
-199,257.8
-198,257.6
-197,257.4
-196,257.2
-195,257
-194,256.8
-193,256.6
-192,256.4
-191,256.2
-190,256
-189,255.9
-188,255.8
-187,255.7
-186,255.6
-185,255.5
-184,255.4
-183,255.3
-182,255.2
-181,255.1
-180,255
-179,254.9
-178,254.8
-177,254.7
-176,254.6
-175,254.5
-174,254.4
-173,254.3
-172,254.2
-171,254.1
-170,254
-120,254
-119,253.8
-118,253.6
-117,253.4
-116,253.2
-115,253
-114,252.8
-113,252.6
-112,252.4
-111,252.2
-110,252
-109,251.8
-108,251.6
-107,251.4
-106,251.2
-105,251
-104,250.8
-103,250.6
-102,250.4
-101,250.2
-100,250
-99,249.8
-98,249.6
-97,249.4
-96,249.2
-95,249
-94,248.8
-93,248.6
-92,248.4
-91,248.2
-90,248
-89,247.7
-88,247.4
-87,247.1
-86,246.8
-85,246.5
-84,246.2
-83,245.9
-82,245.6
-81,245.3
-80,245
-79,244.7
-78,244.4
-77,244.1
-76,243.8
-75,243.5
-74,243.2
-73,242.9
-72,242.6
-71,242.3
-70,242
-69,241.6
-68,241.2
-67,240.8
-66,240.4
-65,240
-64,239.6
-63,239.2
-62,238.8
-61,238.4
-60,238
-59,237.4
-58,236.8
-57,236.2
-56,235.6
-55,235
-54,234.4
-53,233.8
-52,233.2
-51,232.6
-50,232
-49,231.3
-48,230.6
-47,229.9
-46,229.2
-45,228.5
-44,227.8
-43,227.1
-42,226.4
-41,225.7
-40,225
-39,224.2
-38,223.4
-37,222.6
-36,221.8
-35,221
-34,220.2
-33,219.4
-32,218.6
-31,217.8
-30,217
-29,216.1
-28,215.2
-27,214.3
-26,213.4
-25,212.5
-24,211.6
-23,210.7
-22,209.8
-21,208.9
-20,208
-19,206.9
-18,205.8
-17,204.7
-16,203.6
-15,202.5
-14,201.4
-13,200.3
-12,199.2
-11,198.1
-10,197
-9,195.3
-8,193.6
-7,191.9
-6,190.2
-5,188.5
-4,186.8
-3,185.1
-2,183.4
-1,181.7
0,180
1,176
2,172
3,168
4,164
5,160
6,156
7,152
8,148
9,144
10,140
10,100
10,50
